hotel_name,address,stars,rating,review_count,actual_price,discount_price,taxes
Bellagio,"Las Vegas Strip, Las Vegas",5,8.4,"6,447 reviews","₹ 323,297","₹ 193,978","+₹ 50,352 taxes and charges"
"Treasure Island - TI Las Vegas Hotel & Casino, a Radisson Hotel","Las Vegas Strip, Las Vegas",4,8.0,"12,450 reviews","₹ 64,975","₹ 64,975","+₹ 29,838 taxes and charges"
Polo Towers By Diamond Resorts,"Las Vegas Strip, Las Vegas",3,8.4,"2,024 reviews","₹ 62,217","₹ 62,217","+₹ 26,191 taxes and charges"
Excalibur,"Las Vegas Strip, Las Vegas",3,7.5,"18,509 reviews","₹ 51,326","₹ 51,326","+₹ 25,844 taxes and charges"
"Circus Circus Hotel, Casino & Theme Park","Las Vegas Strip, Las Vegas",3,6.5,"23,645 reviews","₹ 36,722","₹ 36,722","+₹ 22,810 taxes and charges"
Bally's Las Vegas Hotel & Casino,"Las Vegas Strip, Las Vegas",3,7.9,"7,769 reviews","₹ 73,480","₹ 73,480","+₹ 31,494 taxes and charges"
"The STRAT Hotel, Casino and Skypod","Las Vegas Strip, Las Vegas",3,6.9,"8,653 reviews","₹ 37,195","₹ 37,195","+₹ 26,631 taxes and charges"
Las Vegas Hilton At Resorts World,"Las Vegas Strip, Las Vegas",5,8.4,"3,527 reviews","₹ 132,619","₹ 132,619","+₹ 42,142 taxes and charges"
Hilton Grand Vacations Club on the Las Vegas Strip,"Las Vegas Strip, Las Vegas",4,8.9,"6,210 reviews","₹ 82,950","₹ 82,950","+₹ 24,656 taxes and charges"
Luxor,"Las Vegas Strip, Las Vegas",3,7.5,"15,687 reviews","₹ 62,882","₹ 62,882","+₹ 27,390 taxes and charges"
SAHARA Las Vegas,"Las Vegas Strip, Las Vegas",4,7.9,"7,676 reviews","₹ 51,605","₹ 51,605","+₹ 28,567 taxes and charges"
Hilton Grand Vacations Club Flamingo Las Vegas,"Las Vegas Strip, Las Vegas",4,8.9,536 reviews,"₹ 87,222","₹ 87,222","+₹ 25,227 taxes and charges"
South Point Hotel Casino-Spa,"South of the Las Vegas Strip, Las Vegas",4,8.7,"2,468 reviews","₹ 69,657","₹ 69,657","+₹ 21,967 taxes and charges"
Flamingo Las Vegas Hotel & Casino,"Las Vegas Strip, Las Vegas",3,7.4,"12,845 reviews","₹ 74,694","₹ 74,694","+₹ 31,654 taxes and charges"
La Quinta by Wyndham Las Vegas Airport South,"South of the Las Vegas Strip, Las Vegas",3,8.3,"2,104 reviews","₹ 65,983","₹ 65,983","+₹ 8,578 taxes and charges"
