hotel_name,address,stars,rating,review_count,actual_price,discount_price,taxes
Evolve Desert Home with Mtn View - Walk to Trails!,"Ahwatukee Foothills, Phoenix",3,Not Provided,41 external reviews,"₹ 87,111","₹ 87,111","+₹ 48,000 taxes and charges"
SureStay Hotel by Best Western Phoenix Airport,"Downtown Phoenix, Phoenix",3,7.3,"3,620 reviews","₹ 52,123","₹ 52,123","+₹ 6,552 taxes and charges"
Sonder at Hance Park,"Downtown Phoenix, Phoenix",4,8.5,140 reviews,"₹ 52,123","₹ 52,123","+₹ 11,254 taxes and charges"
La Quinta by Wyndham Phoenix Chandler,"Ahwatukee Foothills, Phoenix",3,8.1,764 reviews,"₹ 53,366","₹ 53,366","+₹ 6,708 taxes and charges"
Hyatt Place Phoenix-North,"North Mountain, Phoenix",4,7.3,"1,091 reviews","₹ 39,451","₹ 39,451","+₹ 4,959 taxes and charges"
Spacious 3 Bed/3 Bath 2500sqft Newly Remodeled,"Paradise Valley, Phoenix",0,Not Provided,Not Provided,"₹ 76,909","₹ 76,909","+₹ 11,152 taxes and charges"
La Quinta Inn by Wyndham Phoenix North,"Deer Valley, Phoenix",3,6.0,"1,282 reviews","₹ 34,143","₹ 34,143","+₹ 4,292 taxes and charges"
Sonder at McKinley,"Downtown Phoenix, Phoenix",4,8.4,74 reviews,"₹ 57,861","₹ 57,861","+₹ 11,975 taxes and charges"
RISE Uptown,"Alhambra, Phoenix",4,8.9,210 reviews,"₹ 112,296","₹ 78,607","+₹ 11,398 taxes and charges"
Sonder Ida,"Downtown Phoenix, Phoenix",4,8.2,5 reviews,"₹ 45,109","₹ 45,109","+₹ 12,766 taxes and charges"
DoubleTree Suites by Hilton Phoenix,"Camelback East, Phoenix",3,7.9,"1,220 reviews","₹ 64,333","₹ 64,333","+₹ 8,087 taxes and charges"
The Legacy Golf Resort,"South Mountain, Phoenix",4,8.4,411 reviews,"₹ 64,078","₹ 51,262","+₹ 6,444 taxes and charges"
Gorgeous CozySuites Camelback w pool parking #335,Phoenix,0,Not Provided,Not Provided,"₹ 58,260","₹ 58,260","+₹ 17,904 taxes and charges"
Four Points by Sheraton Phoenix South Mountain,"Ahwatukee Foothills, Phoenix",4,7.3,726 reviews,"₹ 44,631","₹ 44,631","+₹ 3,245 taxes and charges"
Best Western North Phoenix Hotel,"North Mountain, Phoenix",3,8.5,860 reviews,"₹ 53,583","₹ 53,583","+₹ 6,735 taxes and charges"
